Inicio de datos:
Acelerometro: 0.18, 0.99, 0.14
Giroscopo: -3.17, -19.90, 6.47
Acelerometro: 0.17, 0.99, 0.14
Giroscopo: -8.00, -3.97, 4.82
Acelerometro: 0.14, 1.00, 0.10
Giroscopo: -7.81, -2.56, 2.62
Acelerometro: 0.14, 0.99, 0.10
Giroscopo: -5.80, -0.24, 3.54
Acelerometro: 0.12, 1.02, 0.11
Giroscopo: -4.27, 0.06, 4.76
Acelerometro: 0.21, 1.10, 0.15
Giroscopo: -0.24, -3.23, 8.97
Acelerometro: 0.05, 0.98, 0.10
Giroscopo: 1.22, -3.11, 11.47
Acelerometro: 0.05, 0.98, 0.08
Giroscopo: -1.71, -2.87, 3.78
Acelerometro: 0.07, 1.01, 0.09
Giroscopo: 0.79, -2.75, 2.75
Acelerometro: -0.03, 0.94, 0.08
Giroscopo: -0.06, 2.32, -0.24
Acelerometro: 0.04, 0.99, 0.13
Giroscopo: 0.00, -0.24, -4.27
Acelerometro: 0.04, 1.00, 0.12
Giroscopo: 0.79, 0.00, -3.60
Acelerometro: 0.05, 0.99, 0.12
Giroscopo: 0.24, -3.42, -5.25
Acelerometro: 0.03, 0.95, 0.13
Giroscopo: -2.99, -1.53, -9.40
Acelerometro: 0.11, 1.00, 0.13
Giroscopo: -2.62, -3.60, -11.66
Acelerometro: 0.07, 0.97, 0.13
Giroscopo: -2.20, 2.93, -6.77
Acelerometro: 0.13, 1.02, 0.14
Giroscopo: -1.65, -2.93, -11.47
Acelerometro: 0.11, 1.02, 0.09
Giroscopo: -3.42, -1.95, -13.31
Acelerometro: 0.19, 1.03, 0.06
Giroscopo: -4.94, 1.65, -7.45
Acelerometro: 0.16, 1.01, 0.08
Giroscopo: -5.62, 3.60, -2.81
Acelerometro: 0.18, 0.99, 0.09
Giroscopo: -4.82, 1.46, -0.49
Acelerometro: 0.11, 1.04, 0.09
Giroscopo: -6.65, -2.99, -5.62
Acelerometro: 0.16, 0.98, 0.07
Giroscopo: -4.27, 0.43, 1.95
Acelerometro: 0.17, 0.99, 0.07
Giroscopo: -2.87, 0.12, 1.89
Acelerometro: 0.17, 1.00, 0.06
Giroscopo: -2.81, 0.18, 2.32
Acelerometro: 0.16, 0.97, 0.07
Giroscopo: -1.83, -0.85, 2.87
Acelerometro: 0.15, 1.00, 0.07
Giroscopo: -0.79, 0.92, 5.19
Acelerometro: 0.13, 1.00, 0.07
Giroscopo: -0.37, 1.04, 4.82
Acelerometro: 0.14, 1.04, 0.10
Giroscopo: 1.59, -1.77, 9.28
Acelerometro: 0.13, 1.04, 0.09
Giroscopo: -0.31, -1.77, 7.45
Acelerometro: 0.08, 1.02, 0.08
Giroscopo: -0.85, -7.45, 2.14
Acelerometro: 0.05, 0.95, 0.04
Giroscopo: -2.20, -6.65, 0.92
Acelerometro: 0.03, 0.94, 0.08
Giroscopo: -2.26, -2.38, -2.56
Acelerometro: 0.08, 1.01, 0.07
Giroscopo: -0.61, -0.31, -2.32
Acelerometro: 0.08, 1.02, 0.05
Giroscopo: 0.61, -1.16, -1.95
Acelerometro: 0.07, 1.00, 0.08
Giroscopo: -0.12, -1.46, -2.93
Acelerometro: 0.08, 0.99, 0.08
Giroscopo: -0.85, -0.79, -2.69
Acelerometro: 0.06, 0.99, 0.08
Giroscopo: -1.65, -2.99, -5.00
Acelerometro: 0.07, 0.98, 0.09
Giroscopo: -2.01, 1.28, -3.85
Acelerometro: 0.14, 1.01, -0.02
Giroscopo: -3.72, 8.18, -6.29
Acelerometro: 0.15, 1.02, 0.06
Giroscopo: -2.20, 1.22, -8.30
Acelerometro: 0.12, 0.98, 0.09
Giroscopo: -2.56, 0.18, -10.25
Acelerometro: 0.14, 1.02, 0.10
Giroscopo: -1.28, -3.11, -11.90
Acelerometro: 0.22, 1.05, 0.07
